stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-81.98384096665012,4.003153634365069e-9,800,800,1
polish,2,-81.98384656759262,6.521347610398914e-9,800,800,1
polish,3,-81.98384657895105,6.552193919671204e-9,800,800,1
polish,4,-81.98384657829872,6.563430949183277e-9,800,800,1
polish,5,-81.98384657854155,6.564460937453465e-9,800,800,1
polish,6,-81.98385011417494,2.558240424147173e-10,1600,1600,1
polish,7,-81.98385014164717,2.9200001493288173e-10,1600,1600,1
polish,8,-81.9838501425976,2.9387492021030047e-10,1600,1600,1
polish,9,-81.9838501426189,2.9424838666426396e-10,1600,1600,1
polish,10,-81.98385014262418,2.943376847718334e-10,1600,1600,1
polish,11,-81.98385028647479,3.863554603373291e-11,2400,2400,1
polish,12,-81.98385028793243,3.92822895091124e-11,2400,2400,1
polish,13,-81.9838502893113,4.024510740499689e-11,2400,2400,1
polish,14,-81.98385029257754,4.073194886569848e-11,2400,2400,1
polish,15,-81.98385029466178,4.152012884110202e-11,2400,2400,1
polish,16,-81.98385031684657,2.9431668769680772e-12,4000,4000,1
polish,17,-81.98385031691684,3.0292556717268086e-12,4000,4000,1
polish,18,-81.98385031691895,3.041646867900057e-12,4000,4000,1
polish,19,-81.98385031691876,3.0443351861556473e-12,4000,4000,1
polish,20,-81.983850316919,3.045070721932913e-12,4000,4000,1
polish,21,-81.98385031782445,9.999023379793873e-13,4902,6000,0
polish,22,-81.98385031786151,9.999987003758003e-13,4934,6000,0
polish,23,-81.98385031786741,9.99974206332595e-13,4946,6000,0
polish,24,-81.98385031787167,9.99978734261004e-13,4953,6000,0
polish,25,-81.98385031787572,9.99995782445806e-13,4956,6000,0
