stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-79.00073861186333,1.9458835552359001e-7,800,800,1
polish,2,-79.00107688128001,2.2102337154276654e-7,800,800,1
polish,3,-79.00108188056883,1.6145825294442665e-7,800,800,1
polish,4,-79.00108223549336,1.741455965072866e-7,800,800,1
polish,5,-79.00108235095568,1.776978059988814e-7,800,800,1
polish,6,-79.00114120390508,1.1508519812930064e-8,1600,1600,1
polish,7,-79.00114387082925,1.500337082088288e-8,1600,1600,1
polish,8,-79.00114495189085,1.571368086156656e-8,1600,1600,1
polish,9,-79.00114508890165,1.5746396876637296e-8,1600,1600,1
polish,10,-79.00114510527825,1.575965935347277e-8,1600,1600,1
polish,11,-79.00114955748533,2.592445755126936e-9,2400,2400,1
polish,12,-79.00114966017671,2.8058499078359855e-9,2400,2400,1
polish,13,-79.00114968620319,2.949760283522287e-9,2400,2400,1
polish,14,-79.00114971863614,3.019097387626334e-9,2400,2400,1
polish,15,-79.00114972989982,3.0134760146628358e-9,2400,2400,1
polish,16,-79.00115071738539,3.3380911953536734e-10,4000,4000,1
polish,17,-79.00115073694779,3.691081846315003e-10,4000,4000,1
polish,18,-79.00115073936142,3.8051456512195825e-10,4000,4000,1
polish,19,-79.00115074020717,3.9042272466814576e-10,4000,4000,1
polish,20,-79.00115074043224,3.9501504596640043e-10,4000,4000,1
polish,21,-79.00115085784023,6.905249603240049e-11,6000,6000,1
polish,22,-79.00115085934213,7.245135217514917e-11,6000,6000,1
polish,23,-79.00115085948308,7.288666866112769e-11,6000,6000,1
polish,24,-79.00115085960192,7.305683776271858e-11,6000,6000,1
polish,25,-79.00115085966695,7.307164814247556e-11,6000,6000,1
