stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-83.60689148225269,4.470950833329559e-8,800,800,1
polish,2,-83.60689704597348,9.21741412436087e-8,800,800,1
polish,3,-83.60689708199196,9.23617165534045e-8,800,800,1
polish,4,-83.60689708004851,9.200309938028853e-8,800,800,1
polish,5,-83.60689706406833,9.152446023603377e-8,800,800,1
polish,6,-83.60693799850134,4.524040471150187e-9,1600,1600,1
polish,7,-83.60693823807406,5.210230037514043e-9,1600,1600,1
polish,8,-83.6069382441493,5.2766152632932305e-9,1600,1600,1
polish,9,-83.60693824656303,5.300098439887789e-9,1600,1600,1
polish,10,-83.60693824741666,5.308247484285082e-9,1600,1600,1
polish,11,-83.60694023366872,8.53048136361207e-10,2400,2400,1
polish,12,-83.60694025988994,9.033254569880177e-10,2400,2400,1
polish,13,-83.60694026935104,9.097170242470532e-10,2400,2400,1
polish,14,-83.60694028042633,9.160525868210643e-10,2400,2400,1
polish,15,-83.60694030041275,9.259448361401576e-10,2400,2400,1
polish,16,-83.60694070364954,7.49724943290951e-11,4000,4000,1
polish,17,-83.60694071095743,8.380274702537732e-11,4000,4000,1
polish,18,-83.60694071173508,8.535388835769137e-11,4000,4000,1
polish,19,-83.6069407117945,8.596720825524539e-11,4000,4000,1
polish,20,-83.60694071179705,8.599353603718812e-11,4000,4000,1
polish,21,-83.60694074032082,1.0445168632209611e-11,6000,6000,1
polish,22,-83.60694074056326,1.1022712103035394e-11,6000,6000,1
polish,23,-83.60694074059177,1.1156919029878648e-11,6000,6000,1
polish,24,-83.60694074059586,1.1203933883916001e-11,6000,6000,1
polish,25,-83.6069407405985,1.122723155414422e-11,6000,6000,1
