stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-78.36560876075532,1.2144718438418942e-7,800,800,1
polish,2,-78.36561479896287,1.2967211078372618e-7,800,800,1
polish,3,-78.36561501593611,1.3069770361780363e-7,800,800,1
polish,4,-78.36561510753631,1.3250181929312982e-7,800,800,1
polish,5,-78.36561517932657,1.339294567811807e-7,800,800,1
polish,6,-78.36565091121385,6.609491098377627e-9,1600,1600,1
polish,7,-78.3656518318746,7.731558734153206e-9,1600,1600,1
polish,8,-78.36565191127262,8.065320879591674e-9,1600,1600,1
polish,9,-78.36565197181095,8.448753921067054e-9,1600,1600,1
polish,10,-78.3656520304899,8.843578578422105e-9,1600,1600,1
polish,11,-78.36565444290592,1.3909159652947953e-9,2400,2400,1
polish,12,-78.36565457017147,1.5506143177933142e-9,2400,2400,1
polish,13,-78.36565459664509,1.5591344286146113e-9,2400,2400,1
polish,14,-78.365654607242,1.563272666174756e-9,2400,2400,1
polish,15,-78.36565461396316,1.5650277468145674e-9,2400,2400,1
polish,16,-78.3656550807926,1.5575378525006809e-10,4000,4000,1
polish,17,-78.36565509273629,1.7596228403739576e-10,4000,4000,1
polish,18,-78.36565509502,1.8223794445472937e-10,4000,4000,1
polish,19,-78.36565509621062,1.8579102577691556e-10,4000,4000,1
polish,20,-78.36565509697448,1.8743972514732742e-10,4000,4000,1
polish,21,-78.36565514751962,2.6063933781445244e-11,6000,6000,1
polish,22,-78.36565514957387,2.8480254628203518e-11,6000,6000,1
polish,23,-78.36565515000952,2.8825548872896566e-11,6000,6000,1
polish,24,-78.36565515011733,2.9185756422126084e-11,6000,6000,1
polish,25,-78.36565515017102,2.936503764686333e-11,6000,6000,1
