sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
1,-97.18459401982875,9.998186141832338e-11,410,800,0
2,-97.18459413767008,9.999974842495683e-11,426,800,0
3,-97.18459413655182,9.999952747698524e-11,426,800,0
4,-97.18459413442523,9.997969958901037e-11,422,800,0
5,-97.18459413436261,9.999429307960278e-11,422,800,0
6,-97.18459420604381,9.998187853163317e-12,596,1600,0
7,-97.18459420628255,9.995058243122665e-12,598,1600,0
8,-97.18459420628676,9.999634459636426e-12,598,1600,0
9,-97.18459420628673,9.998685619713459e-12,598,1600,0
10,-97.18459420628682,9.99860610014451e-12,598,1600,0
11,-97.18459421353946,9.995930415079053e-13,824,2400,0
12,-97.18459421357066,9.9977100291534e-13,826,2400,0
13,-97.18459421368162,9.99666415296532e-13,834,2400,0
14,-97.18459421386932,9.996199674548164e-13,834,2400,0
15,-97.18459421388285,9.999801316844524e-13,834,2400,0
16,-97.18459421388309,9.996763851272813e-13,834,4000,0
17,-97.1845942138834,9.99679522191449e-13,834,4000,0
18,-97.1845942138829,9.996797061376497e-13,834,4000,0
19,-97.18459421388283,9.996797148757975e-13,834,4000,0
20,-97.1845942138828,9.996797142525005e-13,834,4000,0
21,-97.18459421388293,9.996797134853489e-13,834,6000,0
22,-97.18459421388326,9.996797129631313e-13,834,6000,0
23,-97.18459421388263,9.996797126210326e-13,834,6000,0
24,-97.18459421388305,9.996797123945873e-13,834,6000,0
25,-97.18459421388282,9.996797122479576e-13,834,6000,0
